id,code,name,industry,concept,sme,gem,st,hs300,sh50,zz500,pe,outstanding,totals,totalAssets,liquidAssets,timeToMarket,pb,rev,profit,holders
3228,002153,石基信息,软件服务,,False,False,False,0.07,False,False,76.4,4.84,10.67,624929.69,355845.25,20070813,5.48,19.3,5.23,23529.0
3229,300509,新美星,专用机械,,False,False,False,0.0,False,False,39.97,0.26,0.8,120190.72,90422.43,20160425,3.22,8.87,-8.5,11543.0
3230,603328,依顿电子,元器件,,False,False,False,0.0,False,True,23.18,9.87,9.98,538686.44,444860.75,20140701,2.87,14.23,0.05,20468.0
3231,002192,融捷股份,专用机械,,False,False,False,0.0,False,False,2930.88,1.9,2.6,98671.18,33738.69,20071205,9.07,7.77,88.18,21239.0
3232,000025,特 力Ａ,汽车服务,,False,False,False,0.0,False,True,177.96,1.94,2.97,134672.02,42539.75,19930621,10.28,-0.99,54.89,56881.0
3233,600893,航发动力,航空,,False,False,False,0.19,False,False,105.24,19.48,22.5,6321024.5,4086589.5,19960408,2.02,3.16,21.54,84177.0
3234,300212,易华录,软件服务,,False,False,False,0.0,False,False,100.01,3.05,3.7,856252.88,654492.88,20110505,4.37,22.55,2.53,21096.0
3235,300596,利安隆,化工原料,,False,False,False,0.0,False,False,22.09,1.22,1.8,134531.41,88554.31,20170119,3.16,47.62,27.14,13560.0
3236,603160,汇顶科技,元器件,,False,False,False,0.03,False,False,34.08,2.3,4.54,418883.81,385200.13,20161017,10.36,34.63,26.63,25665.0
3237,002447,晨鑫科技,互联网,,False,False,False,0.0,False,False,81.6,9.64,14.27,324293.28,72325.06,20100713,2.77,-20.87,-47.62,54137.0
3238,603880,南卫股份,医疗保健,,False,False,False,0.0,False,False,36.37,0.25,1.0,79917.36,59580.63,20170807,3.8,0.0,0.0,14317.0
3239,600239,云南城投,区域地产,,False,False,False,0.0,False,False,0.0,16.06,16.06,8186888.0,6165360.5,19991202,1.82,105.95,23.74,59654.0
3240,002917,金奥博,化工原料,,False,False,False,0.0,False,False,40.76,0.28,1.13,44838.18,38593.87,20171208,6.75,0.0,0.0,57326.0
3241,300347,泰格医药,医疗保健,,False,False,False,0.0,False,False,65.02,3.04,5.0,338618.84,127810.47,20120817,7.31,38.32,101.03,13786.0
3242,600640,号百控股,酒店餐饮,,False,False,False,0.0,False,True,37.03,5.35,7.96,624970.0,490725.75,19930407,2.34,-0.48,55.21,29966.0
3243,002576,通达动力,电气设备,,False,False,False,0.0,False,False,2531.09,1.19,1.65,98595.88,68961.43,20110428,2.11,41.84,-83.1,17326.0
3244,002909,集泰股份,化工原料,,False,False,False,0.0,False,False,41.17,0.3,1.2,62304.0,41796.75,20171026,5.33,0.0,0.0,59864.0
3245,300545,联得装备,专用机械,,False,False,False,0.0,False,False,61.29,0.23,0.72,75506.11,72039.46,20160928,6.7,108.22,87.98,7310.0
3246,300458,全志科技,元器件,,False,False,False,0.0,False,False,820.4,1.51,3.33,224074.02,186700.23,20150515,3.04,-13.13,-95.96,29424.0
3247,300671,富满电子,半导体,,False,False,False,0.0,False,False,60.84,0.25,1.01,68242.43,51843.62,20170705,5.92,0.0,0.0,15266.0
3248,600229,城市传媒,出版业,,False,False,False,0.0,False,False,23.39,4.3,7.02,322571.94,181641.36,20000309,2.56,12.28,20.28,44496.0
3249,603868,飞科电器,家用电器,,False,False,False,0.0,False,True,32.38,0.44,4.36,296624.38,214313.52,20160418,11.91,14.4,42.77,10651.0
3250,300699,光威复材,化工原料,,False,False,False,0.0,False,False,54.46,0.92,3.68,327059.41,227808.72,20170901,5.89,0.0,0.0,71330.0
3251,002849,威星智能,电器仪表,,False,False,False,0.0,False,False,41.33,0.22,0.87,76299.86,65888.03,20170217,3.54,0.0,0.0,15934.0
3252,300534,陇神戎发,中成药,,False,False,False,0.0,False,False,130.58,1.89,3.03,78058.93,25093.23,20160913,3.17,2.3,-65.68,28153.0
3253,300735,光弘科技,通信设备,,False,False,False,0.0,False,False,34.16,0.89,3.55,106216.22,48046.23,20171229,6.42,0.0,0.0,166446.0
3254,002241,歌尔股份,元器件,,False,False,False,0.23,False,False,23.1,27.2,32.45,2613673.75,1319743.75,20080522,3.0,36.93,33.66,69570.0
3255,002063,远光软件,软件服务,,False,False,False,0.0,False,True,33.3,5.35,6.07,237338.38,177118.45,20060823,2.93,7.27,32.67,53410.0
3256,000517,荣安地产,区域地产,,False,False,False,0.0,False,False,19.38,30.36,31.84,1166990.38,1058008.63,19930806,2.98,425.79,2244.94,42808.0
3257,603602,纵横通信,通信设备,,False,False,False,0.0,False,False,86.17,0.2,0.8,95226.15,94132.81,20170810,5.34,0.0,0.0,19451.0
3258,002815,崇达技术,半导体,,False,False,False,0.0,False,True,26.14,1.06,4.1,403504.03,174012.06,20161012,5.04,39.88,13.11,30767.0
3259,603803,瑞斯康达,通信设备,,False,False,False,0.0,False,False,35.8,0.57,4.21,350456.31,304554.13,20170420,2.54,0.0,0.0,30381.0
3260,603387,基蛋生物,生物制药,,False,False,False,0.0,False,False,35.01,0.33,1.32,117586.5,97487.6,20170717,5.92,0.0,0.0,13968.0
3261,300068,南都电源,电气设备,,False,False,False,0.0,False,False,27.45,5.85,8.72,1064056.75,698204.31,20100421,2.22,29.08,48.79,43007.0
3262,300678,中科信息,软件服务,,False,False,False,0.0,False,False,256.81,0.25,1.0,66166.78,52995.73,20170728,8.47,0.0,0.0,21562.0
3263,002846,英联股份,广告包装,,False,False,False,0.0,False,False,52.93,0.5,1.95,70187.34,39867.15,20170207,3.01,31.4,-7.79,17346.0
3264,300726,宏达电子,元器件,,False,False,False,0.0,False,False,42.16,0.4,4.0,100780.3,80427.53,20171121,8.14,0.0,0.0,79196.0
3265,603877,太平鸟,服饰,,False,False,False,0.0,False,True,59.63,1.99,4.81,562312.38,442478.56,20170109,4.48,9.73,-28.73,21338.0
3266,002573,清新环境,环境保护,,False,False,False,0.0,False,True,18.0,10.69,10.73,1183585.13,574736.88,20110422,3.57,57.65,23.99,77582.0
3267,000836,鑫茂科技,通信设备,,False,False,False,0.0,False,False,67.77,11.83,12.08,273369.34,171673.77,19970929,3.3,12.39,119.71,31199.0
3268,300269,联建光电,半导体,,False,False,False,0.0,False,False,14.56,3.57,6.14,894398.63,298163.97,20111012,1.25,50.41,33.59,14902.0
3269,002463,沪电股份,元器件,,False,False,False,0.0,False,True,33.19,16.73,16.74,586873.19,280990.75,20100818,2.08,21.37,150.19,90112.0
